n_estimators, Accuracy, learning_rate
100, 0.9096449591797988, 0.01
200, 0.9148889310803116, 0.01
300, 0.9148889310803116, 0.01
400, 0.9135807860262009, 0.01
500, 0.9131441048034933, 0.01
600, 0.912707423580786, 0.01
700, 0.9127074235807859, 0.01
800, 0.9122707423580787, 0.01
900, 0.911834061135371, 0.01
100, 0.915323713689007, 0.05
200, 0.9122707423580787, 0.05
300, 0.9113973799126637, 0.05
400, 0.9122707423580785, 0.05
500, 0.9131441048034935, 0.05
600, 0.9127074235807859, 0.05
700, 0.9127074235807859, 0.05
800, 0.9127074235807859, 0.05
900, 0.9127074235807859, 0.05
100, 0.9144446554015568, 0.1
200, 0.912707423580786, 0.1
300, 0.9113973799126637, 0.1
400, 0.9122707423580785, 0.1
500, 0.9131441048034933, 0.1
600, 0.9131441048034933, 0.1
700, 0.912707423580786, 0.1
800, 0.9122707423580785, 0.1
900, 0.9122707423580785, 0.1
100, 0.9122669451300551, 0.5
200, 0.9127017277387507, 0.5
300, 0.9127036263527625, 0.5
400, 0.9122707423580785, 0.5
500, 0.912707423580786, 0.5
600, 0.9122707423580785, 0.5
700, 0.9122707423580785, 0.5
800, 0.9122707423580785, 0.5
900, 0.9131384089614581, 0.5
100, 0.9131384089614579, 1
200, 0.9131384089614583, 1
300, 0.9122669451300551, 1
400, 0.9127055249667743, 1
500, 0.912707423580786, 1
600, 0.9122707423580785, 1
700, 0.9122707423580785, 1
800, 0.9122707423580785, 1
900, 0.9135750901841657, 1

Best value of n_estimators: 100
Best value of learning_rate: 0.05
Best accuracy score: 0.915323713689007
