k, Accuracy, metric
1, 0.9113916840706284, euclidean
2, 0.8786424909815835, euclidean
3, 0.8685988228593127, euclidean
4, 0.8498443136510347, euclidean
5, 0.8459122840326561, euclidean
6, 0.8236491361306246, euclidean
7, 0.811427757736852, euclidean
8, 0.803130814505411, euclidean
9, 0.8005164230112018, euclidean
10, 0.790041769508259, euclidean
11, 0.7817467248908297, euclidean
12, 0.7738883614961078, euclidean
13, 0.7712720713878869, euclidean
14, 0.7634175052211886, euclidean
15, 0.7594949686728689, euclidean
16, 0.7468388076704006, euclidean
17, 0.7433491551167647, euclidean
18, 0.7306910955002848, euclidean
19, 0.7389823428896904, euclidean
20, 0.7289424719954434, euclidean
21, 0.7267571672678944, euclidean
22, 0.7206455287640023, euclidean
23, 0.7193354850958801, euclidean
24, 0.71365483197266, euclidean
25, 0.7132162521359409, euclidean
26, 0.7071046136320487, euclidean
27, 0.7036130624644009, euclidean
28, 0.7010005695842036, euclidean
29, 0.697068539965825, euclidean
30, 0.697940003797228, euclidean
31, 0.6966337573571293, euclidean
32, 0.6944484526295804, euclidean
33, 0.6948794380102525, euclidean
34, 0.6918207708372888, euclidean
35, 0.6870248718435543, euclidean
36, 0.6865881906208469, euclidean
37, 0.6839700018986139, euclidean
38, 0.679593696601481, euclidean
39, 0.683521928991836, euclidean
40, 0.6761021454338333, euclidean
41, 0.677408391873932, euclidean
42, 0.673049174102905, euclidean
43, 0.678289348775394, euclidean
44, 0.6713081450541105, euclidean
45, 0.6730510727169168, euclidean
46, 0.671744826276818, euclidean
47, 0.6699962027719766, euclidean
48, 0.6695614201632808, euclidean
49, 0.6625802164419973, euclidean
50, 0.6621492310613253, euclidean
51, 0.6608372887791912, euclidean
52, 0.656470476552117, euclidean
53, 0.6577786216062276, euclidean
54, 0.655599012720714, euclidean
55, 0.6542889690525915, euclidean
56, 0.6547218530472756, euclidean
57, 0.6534118093791531, euclidean
58, 0.6503607366622367, euclidean
59, 0.6459996202771976, euclidean
60, 0.6468710841086007, euclidean
61, 0.645564837668502, euclidean
62, 0.6464325042718815, euclidean
63, 0.6438162141636605, euclidean
64, 0.64250806910955, euclidean
65, 0.6390184165559141, euclidean
66, 0.6359616479969622, euclidean
67, 0.6337801404974368, euclidean
68, 0.633347256502753, euclidean
69, 0.632035314220619, euclidean
70, 0.6281051832162522, euclidean
71, 0.6285418644389595, euclidean
72, 0.6294133282703627, euclidean
73, 0.6289766470476551, euclidean
74, 0.6280994873742167, euclidean
75, 0.6254794000379722, euclidean
76, 0.6250427188152649, euclidean
77, 0.62416935636985, euclidean
78, 0.6246079362065691, euclidean
79, 0.6202411239794949, euclidean
80, 0.6180596164799697, euclidean
81, 0.6198044427567875, euclidean
82, 0.6224302259350674, euclidean
83, 0.624609834820581, euclidean
84, 0.6224264287070438, euclidean
85, 0.6215549648756408, euclidean
86, 0.6211182836529334, euclidean
87, 0.6206797038162141, euclidean
88, 0.6206816024302259, euclidean
89, 0.616753370039871, euclidean
90, 0.6123865578127966, euclidean
91, 0.6119498765900891, euclidean
92, 0.6132618188722232, euclidean
93, 0.6110746155306626, euclidean
94, 0.611070818302639, euclidean
95, 0.6071425859122841, euclidean
96, 0.6045243971900514, euclidean
97, 0.6027852667552687, euclidean
98, 0.6045319916460983, euclidean
99, 0.6036605278146953, euclidean
100, 0.6032238465919879, euclidean
1, 0.9113916840706284, minkowski
2, 0.8786424909815835, minkowski
3, 0.8685988228593127, minkowski
4, 0.8498443136510347, minkowski
5, 0.8459122840326561, minkowski
6, 0.8236491361306246, minkowski
7, 0.811427757736852, minkowski
8, 0.803130814505411, minkowski
9, 0.8005164230112018, minkowski
10, 0.790041769508259, minkowski
11, 0.7817467248908297, minkowski
12, 0.7738883614961078, minkowski
13, 0.7712720713878869, minkowski
14, 0.7634175052211886, minkowski
15, 0.7594949686728689, minkowski
16, 0.7468388076704006, minkowski
17, 0.7433491551167647, minkowski
18, 0.7306910955002848, minkowski
19, 0.7389823428896904, minkowski
20, 0.7289424719954434, minkowski
21, 0.7267571672678944, minkowski
22, 0.7206455287640023, minkowski
23, 0.7193354850958801, minkowski
24, 0.71365483197266, minkowski
25, 0.7132162521359409, minkowski
26, 0.7071046136320487, minkowski
27, 0.7036130624644009, minkowski
28, 0.7010005695842036, minkowski
29, 0.697068539965825, minkowski
30, 0.697940003797228, minkowski
31, 0.6966337573571293, minkowski
32, 0.6944484526295804, minkowski
33, 0.6948794380102525, minkowski
34, 0.6918207708372888, minkowski
35, 0.6870248718435543, minkowski
36, 0.6865881906208469, minkowski
37, 0.6839700018986139, minkowski
38, 0.679593696601481, minkowski
39, 0.683521928991836, minkowski
40, 0.6761021454338333, minkowski
41, 0.677408391873932, minkowski
42, 0.673049174102905, minkowski
43, 0.678289348775394, minkowski
44, 0.6713081450541105, minkowski
45, 0.6730510727169168, minkowski
46, 0.671744826276818, minkowski
47, 0.6699962027719766, minkowski
48, 0.6695614201632808, minkowski
49, 0.6625802164419973, minkowski
50, 0.6621492310613253, minkowski
51, 0.6608372887791912, minkowski
52, 0.656470476552117, minkowski
53, 0.6577786216062276, minkowski
54, 0.655599012720714, minkowski
55, 0.6542889690525915, minkowski
56, 0.6547218530472756, minkowski
57, 0.6534118093791531, minkowski
58, 0.6503607366622367, minkowski
59, 0.6459996202771976, minkowski
60, 0.6468710841086007, minkowski
61, 0.645564837668502, minkowski
62, 0.6464325042718815, minkowski
63, 0.6438162141636605, minkowski
64, 0.64250806910955, minkowski
65, 0.6390184165559141, minkowski
66, 0.6359616479969622, minkowski
67, 0.6337801404974368, minkowski
68, 0.633347256502753, minkowski
69, 0.632035314220619, minkowski
70, 0.6281051832162522, minkowski
71, 0.6285418644389595, minkowski
72, 0.6294133282703627, minkowski
73, 0.6289766470476551, minkowski
74, 0.6280994873742167, minkowski
75, 0.6254794000379722, minkowski
76, 0.6250427188152649, minkowski
77, 0.62416935636985, minkowski
78, 0.6246079362065691, minkowski
79, 0.6202411239794949, minkowski
80, 0.6180596164799697, minkowski
81, 0.6198044427567875, minkowski
82, 0.6224302259350674, minkowski
83, 0.624609834820581, minkowski
84, 0.6224264287070438, minkowski
85, 0.6215549648756408, minkowski
86, 0.6211182836529334, minkowski
87, 0.6206797038162141, minkowski
88, 0.6206816024302259, minkowski
89, 0.616753370039871, minkowski
90, 0.6123865578127966, minkowski
91, 0.6119498765900891, minkowski
92, 0.6132618188722232, minkowski
93, 0.6110746155306626, minkowski
94, 0.611070818302639, minkowski
95, 0.6071425859122841, minkowski
96, 0.6045243971900514, minkowski
97, 0.6027852667552687, minkowski
98, 0.6045319916460983, minkowski
99, 0.6036605278146953, minkowski
100, 0.6032238465919879, minkowski

Best value of k: 1
Best accuracy score: 0.9113916840706284
Best metric: euclidean
