max_depth, n_estimators, accuracy
None, 100, 0.9301537877349535
None, 200, 0.931892918169736
None, 300, 0.9327700778431744
None, 400, 0.932333396620467
None, 500, 0.9332067590658818
None, 600, 0.9340801215112966
None, 700, 0.9340801215112966
None, 800, 0.9336434402885893
None, 900, 0.9332067590658818
1, 100, 0.5050218340611353
1, 200, 0.5050218340611353
1, 300, 0.5050218340611353
1, 400, 0.5050218340611353
1, 500, 0.5050218340611353
1, 600, 0.5050218340611353
1, 700, 0.5050218340611353
1, 800, 0.5050218340611353
1, 900, 0.5050218340611353
2, 100, 0.5141826466679323
2, 200, 0.5154926903360547
2, 300, 0.5154926903360546
2, 400, 0.5176722992215682
2, 500, 0.5176760964495919
2, 600, 0.5159293715587621
2, 700, 0.5146193278906398
2, 800, 0.5150560091133471
2, 900, 0.5141826466679323
3, 100, 0.5521549269033604
3, 200, 0.5421226504651603
3, 300, 0.5408088095690146
3, 400, 0.544302259350674
3, 500, 0.5438655781279665
3, 600, 0.5416840706284413
3, 700, 0.543430795519271
3, 800, 0.5429941142965635
3, 900, 0.544302259350674
4, 100, 0.6058458325422442
4, 200, 0.6027928612113158
4, 300, 0.6036681222707424
4, 400, 0.6032314410480349
4, 500, 0.6019213973799127
4, 600, 0.6014847161572053
4, 700, 0.5997360926523638
4, 800, 0.6001708752610594
4, 900, 0.6001708752610594
5, 100, 0.6608429846212265
5, 200, 0.6643326371748625
5, 300, 0.6630225935067401
5, 400, 0.6652078982342889
5, 500, 0.6638959559521549
5, 600, 0.6652078982342889
5, 700, 0.663463071957471
5, 800, 0.6634611733434592
5, 900, 0.6634611733434592
6, 100, 0.7188912094171254
6, 200, 0.7193259920258211
6, 300, 0.7197645718625403
6, 400, 0.7193240934118094
6, 500, 0.7162692234668693
6, 600, 0.718887412189102
6, 700, 0.7193240934118094
6, 800, 0.7175773685209796
6, 900, 0.7153939624074426
7, 100, 0.7394038352003038
7, 200, 0.7507518511486614
7, 300, 0.7507575469906967
7, 400, 0.7516290108220999
7, 500, 0.752939054490222
7, 600, 0.7538067210936017
7, 700, 0.7542453009303208
7, 800, 0.7546857793810519
7, 900, 0.7551205619897475
8, 100, 0.7895974938295044
8, 200, 0.7917771027150181
8, 300, 0.7882893487753939
8, 400, 0.7895917979874691
8, 500, 0.7895917979874691
8, 600, 0.7882817543193468
8, 700, 0.7874102904879439
8, 800, 0.7869717106512246
8, 900, 0.7865350294285172
9, 100, 0.8175318017846971
9, 200, 0.821461932789064
9, 300, 0.81534839567116
9, 400, 0.8170932219479781
9, 500, 0.8188399468388077
9, 600, 0.8170932219479781
9, 700, 0.8192766280615151
9, 800, 0.8175318017846973
9, 900, 0.8188418454528195
10, 100, 0.8454756028099487
10, 200, 0.8498405164230112
10, 300, 0.849842415037023
10, 400, 0.8507138788684261
10, 500, 0.8489671539775964
10, 600, 0.847218530472755
10, 700, 0.8463432694133284
10, 800, 0.8494000379722803
10, 900, 0.8489633567495728
11, 100, 0.8777691285361685
11, 200, 0.881703056768559
11, 300, 0.8769014619327891
11, 400, 0.8803911144864248
11, 500, 0.8790829694323143
11, 600, 0.8808296943231442
11, 700, 0.8803930131004367
11, 800, 0.8808296943231442
11, 900, 0.8821378393772547
12, 100, 0.8865008543763052
12, 200, 0.8899943041579647
12, 300, 0.887807100816404
12, 400, 0.8895576229352573
12, 500, 0.8886804632618188
12, 600, 0.8930453768748812
12, 700, 0.8921758116574899
12, 800, 0.8921758116574899
12, 900, 0.8891190430985381
13, 100, 0.8978507689386748
13, 200, 0.8969717106512245
13, 300, 0.8952249857603949
13, 400, 0.8978469717106512
13, 500, 0.8987165369280424
13, 600, 0.9022080880956901
13, 700, 0.9008980444275677
13, 800, 0.9000265805961647
13, 900, 0.8995898993734572
14, 100, 0.9074520599962028
14, 200, 0.9096297702677045
14, 300, 0.9118093791532182
14, 400, 0.9078811467628631
14, 500, 0.9100645528764003
14, 600, 0.9109379153218151
14, 700, 0.9087545092082779
14, 800, 0.9100645528764003
14, 900, 0.909627871653693
15, 100, 0.9166166698310233
15, 200, 0.9161780899943042
15, 300, 0.9157414087715967
15, 400, 0.9183614961078413
15, 500, 0.9183614961078412
15, 600, 0.9179248148851338
15, 700, 0.9201082209986708
15, 800, 0.9214182646667932
15, 900, 0.9218549458895007
16, 100, 0.9218625403455478
16, 200, 0.924907917220429
16, 300, 0.9275280045566736
16, 400, 0.9279684830074044
16, 500, 0.9270951205619896
16, 600, 0.9270951205619896
16, 700, 0.9284051642301121
16, 800, 0.926660337953294
16, 900, 0.9275318017846972
17, 100, 0.9244750332257452
17, 200, 0.9253502942851718
17, 300, 0.9253502942851718
17, 400, 0.9270951205619898
17, 500, 0.9284051642301121
17, 600, 0.9297133092842225
17, 700, 0.9297152078982343
17, 800, 0.9297152078982343
17, 900, 0.9301518891209417
18, 100, 0.9284070628441237
18, 200, 0.9301499905069299
18, 300, 0.9310233529523447
18, 400, 0.9301499905069299
18, 500, 0.9305885703436492
18, 600, 0.9323352952344788
18, 700, 0.931461932789064
18, 800, 0.9323352952344788
18, 900, 0.9310252515663565
19, 100, 0.9297152078982343
19, 200, 0.9301518891209417
19, 300, 0.9288437440668311
19, 400, 0.9305923675716727
19, 500, 0.9284089614581355
19, 600, 0.9305885703436492
19, 700, 0.9310271501803683
19, 800, 0.929717106512246
