C, Accuracy, gamma
0.01, 0.5050218340611353, scale
0.01, 0.5050218340611353, auto
0.1, 0.6534288969052592, scale
0.1, 0.5050218340611353, auto
1, 0.8764685779381052, scale
1, 0.6486235048414658, auto
10, 0.9310328460224035, scale
10, 0.785673058667173, auto
100, 0.9323352952344788, scale
100, 0.8694911714448452, auto
1000, 0.9323352952344788, scale
1000, 0.9113916840706284, auto
10000, 0.931461932789064, scale
10000, 0.9140155686348965, auto
100000, 0.9305885703436492, scale
100000, 0.9148851338522878, auto

Best value of C: 100
Best accuracy score: 0.9323352952344788
Best gamma: scale
