C, Accuracy, gamma
1, 0.8764685779381052, scale
1, 0.6486235048414658, auto
2, 0.9017846971710652, scale
2, 0.7036187583064364, auto
3, 0.9161913802923867, scale
3, 0.7306835010442378, auto
4, 0.9218663375735714, scale
4, 0.742906778052022, auto
5, 0.9266641351813176, scale
5, 0.7516328080501234, auto
6, 0.9288513385228783, scale
6, 0.7616669831023353, auto
7, 0.9271046136320485, scale
7, 0.7690886652743497, auto
8, 0.9297247009682931, scale
8, 0.7756350863869376, auto
9, 0.9301613821910004, scale
9, 0.7817429276628062, auto
10, 0.9310328460224035, scale
10, 0.785673058667173, auto
11, 0.9314657300170875, scale
11, 0.7865464211125878, auto
12, 0.9310290487943801, scale
12, 0.7935314220618948, auto
13, 0.9305923675716727, scale
13, 0.7970248718435542, auto
14, 0.9305942661856845, scale
14, 0.8022650465160431, auto
15, 0.9301575849629768, scale
15, 0.8075052211885323, auto
16, 0.9310309474083918, scale
16, 0.812308714638314, auto
17, 0.9310309474083918, scale
17, 0.8158002658059618, auto
18, 0.9305942661856843, scale
18, 0.8171103094740839, auto
19, 0.9305942661856843, scale
19, 0.8171103094740839, auto
20, 0.9301575849629768, scale
20, 0.8166736282513766, auto
21, 0.9301556863489653, scale
21, 0.8153635845832543, auto
22, 0.9305923675716727, scale
22, 0.8162312511866338, auto
23, 0.9305923675716727, scale
23, 0.8201613821910007, auto
24, 0.9305923675716727, scale
24, 0.82365483197266, auto
25, 0.9305923675716727, scale
25, 0.8240915131953674, auto
26, 0.9310271501803683, scale
26, 0.8258363394721853, auto
27, 0.9310271501803683, scale
27, 0.8293278906398329, auto
28, 0.9310271501803683, scale
28, 0.8310727169166509, auto
29, 0.9310271501803683, scale
29, 0.8350009493070057, auto
30, 0.9310271501803683, scale
30, 0.8367476741978356, auto
31, 0.9310271501803683, scale
31, 0.8371881526485666, auto
32, 0.9310271501803683, scale
32, 0.8371881526485666, auto
33, 0.9310271501803683, scale
33, 0.8380596164799696, auto
34, 0.9310271501803683, scale
34, 0.8371862540345548, auto
35, 0.9310271501803683, scale
35, 0.8371862540345548, auto
36, 0.9310271501803683, scale
36, 0.8376229352572622, auto
37, 0.9310271501803683, scale
37, 0.8376229352572622, auto
38, 0.9314638314030758, scale
38, 0.8371862540345548, auto
39, 0.9314638314030758, scale
39, 0.8384943990886653, auto
40, 0.9314638314030758, scale
40, 0.8384943990886653, auto
41, 0.9314638314030758, scale
41, 0.8406778052022024, auto
42, 0.9314638314030758, scale
42, 0.8398044427567875, auto
43, 0.9314638314030758, scale
43, 0.8419878488703245, auto
44, 0.9314638314030758, scale
44, 0.842424530093032, auto
45, 0.9314638314030758, scale
45, 0.843295993924435, auto
46, 0.9314638314030758, scale
46, 0.8437326751471426, auto
47, 0.9314638314030758, scale
47, 0.8454794000379723, auto
48, 0.9319005126257831, scale
48, 0.8459160812606796, auto
49, 0.9319005126257831, scale
49, 0.8454812986519841, auto
